Policy_ID,Customer_ID,Plan_Name,Coverage_Amount,Payment_Mode,Premium,Start_Date,End_Date,Status
POL0001,C001,ประกันชีวิต,550000,รายเดือน,779.62,2025-05-06,2026-05-06,Active
POL0002,C002,ประกันสุขภาพ,400000,รายเดือน,1299.38,2025-02-22,2026-02-22,Active
POL0003,C003,ประกันชีวิต,2350000,รายเดือน,5413.08,2025-01-17,2026-01-17,Active
POL0004,C004,ประกันชีวิต,750000,รายปี,17465.62,2025-04-30,2026-04-30,Active
POL0005,C005,ประกันชีวิต,2250000,รายปี,37125.0,2025-11-29,2026-11-29,Active
POL0006,C006,ประกันโรคร้ายแรง,1000000,รายกึ่งปี,11016.0,2025-10-29,2026-10-29,Active
POL0007,C007,ประกันอุบัติเหตุ,100000,รายปี,675.0,2025-12-24,2026-12-24,Active
POL0008,C008,ประกันโรคร้ายแรง,1350000,รายกึ่งปี,16730.55,2025-03-21,2026-03-21,Active
POL0009,C009,ประกันสุขภาพ,1400000,รายกึ่งปี,19635.0,2025-02-22,2026-02-22,Active
POL0010,C010,ประกันชีวิต,1700000,รายปี,32703.75,2025-07-03,2026-07-03,Active
POL0011,C011,ประกันอุบัติเหตุ,500000,รายปี,3037.5,2025-08-24,2026-08-24,Active
POL0012,C012,ประกันชีวิต,1700000,รายปี,34425.0,2025-10-10,2026-10-10,Active
POL0013,C013,ประกันอุบัติเหตุ,650000,รายปี,3575.0,2025-12-27,2026-12-27,Active
POL0014,C014,ประกันชีวิต,600000,รายปี,12870.0,2025-05-29,2026-05-29,Active
POL0015,C015,ประกันชีวิต,1200000,รายปี,23085.0,2025-07-14,2026-07-14,Active
POL0016,C016,ประกันอุบัติเหตุ,800000,รายปี,6480.0,2025-03-25,2026-03-25,Active
POL0017,C017,ประกันอุบัติเหตุ,650000,รายปี,4387.5,2025-12-10,2026-12-10,Active
POL0018,C018,ประกันอุบัติเหตุ,200000,รายปี,900.0,2025-10-01,2026-10-01,Active
POL0019,C019,ประกันสุขภาพ,450000,รายกึ่งปี,7358.34,2025-07-14,2026-07-14,Active
POL0020,C020,ประกันอุบัติเหตุ,950000,รายปี,5130.0,2025-12-17,2026-12-17,Active
POL0021,C021,ประกันอุบัติเหตุ,150000,รายปี,1012.5,2025-01-17,2026-01-17,Active
POL0022,C022,ประกันอุบัติเหตุ,700000,รายปี,3150.0,2025-02-03,2026-02-03,Active
POL0023,C023,ประกันสุขภาพ,1100000,รายเดือน,3248.44,2025-06-11,2026-06-11,Active
POL0024,C024,ประกันสุขภาพ,1200000,รายกึ่งปี,19354.5,2025-07-22,2026-07-22,Active
POL0025,C025,ประกันโรคร้ายแรง,750000,รายกึ่งปี,10327.5,2025-03-13,2026-03-13,Active
